id_voo;id_info_adicional;id_aeroporto
1;1;1
2;1;1
3;1;6
4;1;1
5;1;1
6;1;1
7;1;1
8;2;1
9;1;1
10;1;3
11;1;1
12;1;1
13;2;1
14;1;2
15;1;1
16;1;6
17;1;5
18;1;1
19;1;1
20;1;3
21;1;5
22;1;1
23;1;3
24;1;6
25;2;1
26;1;2
27;1;3
28;1;2
29;1;2
30;1;1
31;2;4
32;1;1
33;1;1
34;1;1
35;1;2
36;1;2
37;1;1
38;1;4
39;1;5
40;1;5
41;1;3
42;1;4
43;1;2
44;1;3
45;1;2
46;1;2
47;1;5
48;1;1
49;1;3
50;1;5
51;1;1
52;1;1
53;2;6
54;2;5
55;2;1
56;1;6
57;1;1
58;1;4
59;1;5
60;1;4
61;1;3
62;1;4
63;1;2
64;1;1
65;1;2
66;2;1
67;2;3
68;1;2
69;2;3
70;1;2
71;1;3
72;2;1
73;1;1
74;1;6
75;1;1
76;1;1
77;1;5
78;1;3
79;1;3
80;1;4
81;2;1
82;1;3
83;1;6
84;2;3
85;1;2
86;1;3
87;1;3
88;1;2
89;2;1
90;1;6
91;1;6
92;1;2
93;1;2
94;1;2
95;1;3
96;1;3
97;2;6
98;1;3
99;1;3
100;1;5
101;1;6
102;1;5
103;1;3
104;2;2
105;1;2
106;1;1
107;1;1
108;2;2
109;1;6
110;1;3
111;1;6
112;1;1
113;1;3
114;1;6
115;1;6
116;2;3
117;1;3
118;1;2
119;1;4
120;1;2
121;1;2
122;1;6
123;1;5
124;1;2
125;1;6
126;1;6
127;1;2
128;1;3
129;1;4
130;1;2
131;1;6
132;1;5
133;1;3
134;1;6
135;1;3
136;1;2
137;1;2
138;1;5
139;1;5
140;2;1
141;1;2
142;1;5
143;2;6
144;1;2
145;1;4
146;1;3
147;2;1
148;2;3
149;1;3
150;1;6
151;1;3
152;1;1
153;1;3
154;1;6
155;1;1
156;1;3
157;2;4
158;1;3
159;1;2
160;1;4
161;1;6
162;1;2
163;1;1
164;2;1
165;1;2
166;2;3
167;1;2
168;1;3
169;1;4
170;1;2
171;1;6
172;1;6
173;1;3
174;1;3
175;1;6
176;1;6
177;1;3
178;2;3
179;1;4
180;1;6
181;1;6
182;2;4
183;2;4
184;1;3
185;1;2
186;1;3
187;1;6
188;2;4
189;1;2
190;1;3
191;1;2
192;1;2
193;1;6
194;1;2
195;1;6
196;1;6
197;1;2
198;1;6
199;1;4
200;2;4
201;1;6
202;2;3
203;1;2
204;1;1
205;1;1
206;2;3
207;1;3
208;1;6
209;1;1
210;2;1
211;1;4
212;2;1
213;1;2
214;1;3
215;1;2
216;1;6
217;1;2
218;1;3
219;1;3
220;1;4
221;1;2
222;1;6
223;1;3
224;1;1
225;1;4
226;2;4
227;1;2
228;1;3
229;2;4
230;1;4
231;1;3
232;1;3
233;1;2
234;1;1
235;1;4
236;1;2
237;1;2
238;1;6
239;1;2
240;1;1
241;1;4
242;1;3
243;1;4
244;2;2
245;1;3
246;1;3
247;1;1
248;1;1
249;1;6
250;1;2
251;1;3
252;1;6
253;2;4
254;1;3
255;2;4
256;1;4
257;1;3
258;1;6
259;1;1
260;1;2
261;1;1
262;1;6
263;1;6
264;1;4
265;1;6
266;1;5
267;1;4
268;1;5
269;1;5
270;1;3
271;1;6
272;1;1
273;1;3
274;1;4
275;1;3
276;1;2
277;1;3
278;1;6
279;1;3
280;2;6
281;1;6
282;1;3
283;1;2
284;1;3
285;1;5
286;1;6
287;1;6
288;1;6
289;1;3
290;1;3
291;1;3
292;1;4
293;1;2
294;1;5
295;1;1
296;1;1
297;1;3
298;1;2
299;1;3
300;2;3
301;1;3
302;2;4
303;1;2
304;2;3
305;1;2
306;1;2
307;1;3
308;1;3
309;1;3
310;1;5
311;1;3
312;1;1
313;2;1
314;1;2
315;1;4
316;1;2
317;1;4
318;1;4
319;1;1
320;1;3
321;1;2
322;1;3
323;1;5
324;2;3
325;1;6
326;1;3
327;1;1
328;1;3
329;1;4
330;1;3
331;2;3
332;2;6
333;1;3
334;2;1
335;1;3
336;1;1
337;2;1
338;1;5
339;1;3
340;2;3
