Airline;Day_of_Journey ;Month_of_Journey ;Year_of_Journey ;Dep_Time;Arrival_Time;Arrival_Day;Arrival_Month;Duration;Total_Stops;Price;ID_Voo;fk_ID_Rota
Air India;24;6;2019;11:40;13:55;24;6;2h 15m;0;4667;1;1
Vistara;15;6;2019;07:05;09:20;15;6;2h 15m;0;3687;2;1
Vistara;18;6;2019;07:05;09:20;18;6;2h 15m;0;3687;3;1
Air India;3;5;2019;11:40;13:55;3;5;2h 15m;0;4667;4;1
Vistara;6;3;2019;07:05;09:20;6;3;2h 15m;0;7414;5;1
Vistara;24;5;2019;07:05;09:20;24;5;2h 15m;0;3687;6;1
IndiGo;12;3;2019;13:20;15:35;12;3;2h 15m;0;6297;7;1
SpiceJet;21;3;2019;08:20;10:35;21;3;2h 15m;0;3332;8;1
IndiGo;21;6;2019;05:15;07:40;21;6;2h 25m;0;3540;9;1
IndiGo;12;5;2019;05:15;07:40;12;5;2h 25m;0;3540;10;1
IndiGo;3;6;2019;14:45;17:05;3;6;2h 20m;0;3597;11;1
IndiGo;12;5;2019;14:45;17:05;12;5;2h 20m;0;3858;12;1
SpiceJet;27;6;2019;09:45;12:00;27;6;2h 15m;0;3543;13;1
SpiceJet;12;6;2019;09:45;12:00;12;6;2h 15m;0;3543;14;1
Vistara;18;3;2019;07:05;09:20;18;3;2h 15m;0;4842;15;1
Vistara;27;6;2019;17:45;20:05;27;6;2h 20m;0;11982;16;1
Air India;1;3;2019;11:40;13:55;1;3;2h 15m;0;19630;17;1
SpiceJet;18;3;2019;09:30;12:05;18;3;2h 35m;0;3859;18;1
IndiGo;6;3;2019;13:20;15:35;6;3;2h 15m;0;7295;19;1
SpiceJet;21;5;2019;17:45;20:05;21;5;2h 20m;0;3543;20;1
IndiGo;3;3;2019;14:40;17:05;3;3;2h 25m;0;7295;21;1
SpiceJet;27;3;2019;17:45;20:05;27;3;2h 20m;0;3384;22;1
IndiGo;3;6;2019;19:35;21:55;3;6;2h 20m;0;3597;23;1
SpiceJet;21;5;2019;09:45;12:00;21;5;2h 15m;0;3543;24;1
SpiceJet;1;6;2019;09:45;12:00;1;6;2h 15m;0;3543;25;1
IndiGo;27;6;2019;11:35;14:00;27;6;2h 25m;0;3858;26;1
IndiGo;6;3;2019;05:15;07:35;6;3;2h 20m;0;6482;27;1
IndiGo;1;6;2019;13:15;15:35;1;6;2h 20m;0;3597;28;1
IndiGo;9;5;2019;05:15;07:40;9;5;2h 25m;0;3540;29;1
Vistara;27;5;2019;07:05;09:20;27;5;2h 15m;0;3687;30;1
SpiceJet;21;5;2019;08:20;10:35;21;5;2h 15m;0;3543;31;1
SpiceJet;1;3;2019;09:30;12:05;1;3;2h 35m;0;7298;32;1
Vistara;21;3;2019;07:05;09:20;21;3;2h 15m;0;3739;33;1
IndiGo;21;5;2019;19:35;21:55;21;5;2h 20m;0;3597;34;1
Air India;15;6;2019;11:40;13:55;15;6;2h 15m;0;4667;35;1
Air India;12;6;2019;11:40;13:55;12;6;2h 15m;0;4667;36;1
SpiceJet;9;6;2019;08:20;10:35;9;6;2h 15m;0;3597;37;1
IndiGo;3;5;2019;13:15;15:35;3;5;2h 20m;0;3597;38;1
IndiGo;15;3;2019;05:15;07:35;15;3;2h 20m;0;4326;39;1
Air India;21;3;2019;11:40;13:55;21;3;2h 15m;0;3670;40;1
IndiGo;18;3;2019;13:20;15:35;18;3;2h 15m;0;3858;41;1
SpiceJet;21;3;2019;17:45;20:05;21;3;2h 20m;0;3332;42;1
IndiGo;27;3;2019;05:15;07:35;27;3;2h 20m;0;4326;43;1
Vistara;12;5;2019;17:45;20:05;12;5;2h 20m;0;11982;44;1
IndiGo;15;5;2019;05:15;07:40;15;5;2h 25m;0;3540;45;1
IndiGo;15;5;2019;14:45;17:05;15;5;2h 20m;0;3597;46;1
IndiGo;3;3;2019;22:05;00:25;4;3;2h 20m;0;5277;47;1
Vistara;21;6;2019;07:05;09:20;21;6;2h 15m;0;3687;48;1
IndiGo;6;6;2019;22:05;00:25;7;6;2h 20m;0;5277;49;1
Vistara;9;3;2019;07:05;09:20;9;3;2h 15m;0;6627;50;1
IndiGo;9;5;2019;22:05;00:25;10;5;2h 20m;0;5277;51;1
Air India;21;6;2019;11:40;13:55;21;6;2h 15m;0;4667;52;1
SpiceJet;15;5;2019;09:45;12:00;15;5;2h 15m;0;3597;53;1
SpiceJet;24;3;2019;09:30;12:05;24;3;2h 35m;0;3807;54;1
SpiceJet;18;3;2019;09:30;12:05;18;3;2h 35m;0;3807;55;1
Vistara;1;6;2019;07:05;09:20;1;6;2h 15m;0;3687;56;1
SpiceJet;27;5;2019;17:45;20:05;27;5;2h 20m;0;3597;57;1
SpiceJet;9;3;2019;08:20;10:35;9;3;2h 15m;0;6300;58;1
Air India;18;3;2019;11:40;13:55;18;3;2h 15m;0;4405;59;1
IndiGo;15;3;2019;11:35;14:00;15;3;2h 25m;0;6297;60;1
Air India;15;5;2019;11:40;13:55;15;5;2h 15m;0;4667;61;1
SpiceJet;18;5;2019;09:45;12:00;18;5;2h 15m;0;3543;62;1
IndiGo;1;6;2019;15:40;18:25;1;6;2h 45m;0;3540;63;1
Vistara;27;3;2019;07:05;09:20;27;3;2h 15m;0;3739;64;1
SpiceJet;6;6;2019;09:45;12:00;6;6;2h 15m;0;3597;65;1
